GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sevntu-checks,com.github.sevntu.checkstyle.checks.naming,UniformEnumConstantNameCheck,450,879,1,21,0,54,4,20,3,10
sevntu-checks,com.github.sevntu.checkstyle.checks.naming,InterfaceTypeParameterNameCheck,81,132,1,3,0,8,4,8,3,7
sevntu-checks,com.github.sevntu.checkstyle.checks.naming,EnumValueNameCheck,58,81,1,1,0,6,4,7,3,7
sevntu-checks,com.github.sevntu.checkstyle,SevntuUtil,127,222,0,8,0,13,3,9,3,5
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,IllegalCatchExtendedCheck,532,1098,0,38,0,60,3,32,3,13
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,MultipleStringLiteralsExtendedCheck,477,945,1,27,0,59,4,27,3,14
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,ForbidCCommentsInMethodsCheck,245,444,4,17,0,28,7,17,3,10
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,Jsr305AnnotationsCheck.ClassJsr305Check,94,141,1,1,0,10,4,4,3,4
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,AvoidModifiersForTypesCheck,994,1888,9,62,0,131,12,52,3,22
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,RedundantReturnCheck,1067,2049,3,86,0,118,6,60,3,18
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,UselessSuperCtorCallCheck,335,669,0,24,0,38,3,27,3,15
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,OverridableMethodInConstructorCheck.OverridableMetCall,64,59,0,2,0,5,3,4,3,3
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,OverridableMethodInConstructorCheck,2496,5013,13,194,1,283,15,122,3,30
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,NumericLiteralNeedsUnderscoreCheck.NumericType,231,0,2,0,8,0,9,0,8,0
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,Jsr305AnnotationsCheck.ParameterJsr305Check,414,764,1,21,0,43,4,14,3,4
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,WhitespaceBeforeArrayInitializerCheck,207,412,0,16,0,25,3,18,3,10
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,ReturnNullInsteadOfBooleanCheck,298,450,7,17,0,30,10,15,3,9
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,LogicConditionNeedOptimizationCheck,404,828,0,30,0,50,3,26,3,11
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,SingleBreakOrContinueCheck,235,472,0,20,0,26,3,19,3,9
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,ReturnBooleanFromTernaryCheck,126,230,1,9,0,13,4,11,3,7
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,AvoidDefaultSerializableInInnerClassesCheck.SiblingIterator,108,205,1,9,0,10,4,9,3,5
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,ForbidReturnInFinallyBlockCheck,244,468,0,14,0,28,3,16,3,9
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,AvoidDefaultSerializableInInnerClassesCheck,599,1209,0,48,0,70,3,38,3,14
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,CustomDeclarationOrderCheck,3756,6009,54,211,31,362,53,129,5,42
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,AvoidNotShortCircuitOperatorsForBooleanCheck,658,1394,0,62,0,66,3,43,3,12
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,AvoidConstantAsFirstOperandInConditionCheck,361,711,0,20,0,42,3,21,3,11
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,ConfusingConditionCheck,787,1569,0,56,0,94,3,51,3,23
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,Jsr305AnnotationsCheck.ConstructorJsr305Check,76,111,1,1,0,8,4,4,3,4
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,Jsr305AnnotationsCheck.NullnessAnnotation,199,320,0,2,0,23,4,5,4,4
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,Jsr305AnnotationsCheck.MethodJsr305Check,404,748,1,17,0,43,4,12,3,4
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,ForbidCertainImportsCheck,485,890,4,36,0,56,7,32,3,15
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,Jsr305AnnotationsCheck.AbstractMethodJsr305Check,76,101,1,1,0,8,4,4,3,4
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,UselessSingleCatchCheck,202,378,0,14,0,23,3,17,3,10
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,CustomDeclarationOrderCheck.FormatMatcher,174,186,0,4,3,14,4,11,4,9
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,MoveVariableInsideIfCheck.Holder,266,457,0,18,0,29,3,15,3,6
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,MultipleVariableDeclarationsExtendedCheck,435,888,0,40,0,49,3,31,3,11
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,NameConventionForJunit4TestClassesCheck,567,1150,0,40,0,70,3,37,3,17
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,ForbidInstantiationCheck,554,1139,3,44,0,62,6,35,3,14
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,NoNullForCollectionReturnCheck,1116,2141,15,72,2,123,17,48,3,18
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,SimpleAccessorNameNotationCheck,918,1831,0,82,0,101,3,60,3,19
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,ForbidCertainMethodCheck.IntRange,259,511,0,20,0,28,3,15,3,5
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,UnnecessaryParenthesesExtendedCheck,1180,2330,0,74,0,143,3,54,3,17
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,ReturnCountExtendedCheck,959,1871,0,72,0,113,3,56,3,20
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,RequireFailForTryCatchInJunitCheck,577,1155,4,56,0,63,7,40,3,13
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,CustomDeclarationOrderCheck.new Comparator() {...},40,37,1,1,0,2,4,4,3,4
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,EmptyPublicCtorInClassCheck,964,1947,4,62,0,121,7,57,3,27
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,EitherLogOrThrowCheck,1743,3181,23,109,1,208,25,73,3,26
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,DiamondOperatorForVariableDefinitionCheck,223,416,0,20,0,26,3,18,3,8
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,NumericLiteralNeedsUnderscoreCheck,3627,232,77,1,144,20,62,6,23,6
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,MapIterationInForEachLoopCheck,2242,4432,22,168,2,242,23,104,3,28
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,MoveVariableInsideIfCheck,416,853,0,30,0,52,3,26,3,11
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,ForbidCertainMethodCheck,404,755,1,19,1,45,4,20,3,11
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,CustomDeclarationOrderCheck.ClassDetail,469,906,1,31,0,53,4,26,3,11
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,Jsr305AnnotationsCheck.AbstractJsr305Check,1057,2260,7,102,0,121,10,70,3,22
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,ForbidThrowAnonymousExceptionsCheck,470,808,9,26,1,50,11,24,3,14
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,Jsr305AnnotationsCheck,598,1096,7,34,1,69,9,31,3,15
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,FinalizeImplementationCheck,401,805,0,36,0,46,3,32,3,14
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,TernaryPerExpressionCountCheck,494,1038,0,42,0,54,3,37,3,16
sevntu-checks,com.github.sevntu.checkstyle.checks.coding,AvoidHidingCauseExceptionCheck,660,1372,0,58,0,72,3,41,3,12
sevntu-checks,com.github.sevntu.checkstyle.checks.design,CheckstyleTestMakeupCheck,1239,2500,8,115,0,144,11,79,3,23
sevntu-checks,com.github.sevntu.checkstyle.checks.design,StaticMethodCandidateCheck.Frame,304,337,0,2,0,29,3,13,3,12
sevntu-checks,com.github.sevntu.checkstyle.checks.design,NoMainMethodInAbstractClassCheck,708,1364,0,46,0,86,3,41,3,18
sevntu-checks,com.github.sevntu.checkstyle.checks.design,CauseParameterInExceptionCheck,659,1241,3,38,0,79,6,35,3,17
sevntu-checks,com.github.sevntu.checkstyle.checks.design,NestedSwitchCheck,123,219,1,3,0,15,4,11,3,10
sevntu-checks,com.github.sevntu.checkstyle.checks.design,ChildBlockLengthCheck,756,1528,0,46,0,91,3,42,3,19
sevntu-checks,com.github.sevntu.checkstyle.checks.design,InnerClassCheck,190,364,1,13,0,20,4,14,3,8
sevntu-checks,com.github.sevntu.checkstyle.checks.design,StaticMethodCandidateCheck.new Predicate() {...},73,128,1,7,0,4,4,7,3,4
sevntu-checks,com.github.sevntu.checkstyle.checks.design,StaticMethodCandidateCheck.new Predicate() {...},45,63,1,3,0,2,4,5,3,4
sevntu-checks,com.github.sevntu.checkstyle.checks.design,HideUtilityClassConstructorCheck,489,989,2,50,0,52,5,33,3,9
sevntu-checks,com.github.sevntu.checkstyle.checks.design,AvoidConditionInversionCheck,633,1221,4,52,0,71,7,42,3,17
sevntu-checks,com.github.sevntu.checkstyle.checks.design,ForbidWildcardAsReturnTypeCheck,1219,2405,0,92,0,142,3,73,3,27
sevntu-checks,com.github.sevntu.checkstyle.checks.design,PublicReferenceToPrivateTypeCheck,960,1849,4,70,0,104,7,52,3,18
sevntu-checks,com.github.sevntu.checkstyle.checks.design,ConstructorWithoutParamsCheck,203,363,1,11,0,25,4,14,3,9
sevntu-checks,com.github.sevntu.checkstyle.checks.design,StaticMethodCandidateCheck,2409,5015,9,202,0,288,12,133,3,33
sevntu-checks,com.github.sevntu.checkstyle.checks.design,StaticMethodCandidateCheck.Frame.new Predicate() {...},40,43,1,1,0,2,4,4,3,4
sevntu-checks,com.github.sevntu.checkstyle.checks.design,StaticMethodCandidateCheck.Frame.new Predicate() {...},40,43,1,1,0,2,4,4,3,4
sevntu-checks,com.github.sevntu.checkstyle.checks.sizes,LineLengthExtendedCheck,464,960,1,29,0,58,4,29,3,15
sevntu-checks,com.github.sevntu.checkstyle.checks.annotation,ForbidAnnotationElementValueCheck,650,1350,0,42,0,82,3,42,3,21
sevntu-checks,com.github.sevntu.checkstyle.checks.annotation,ForbidAnnotationCheck,284,586,0,18,0,33,3,21,3,12
